,hospital_name,payer_name,plan_name,code_type,raw_code,description,setting,standard_charge_methodology,additional_payer_notes,standard_charge_gross,standard_charge_discounted_cash,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,standard_charge_min,standard_charge_max,Notes
24,NYU Langone,medicare,vaccnoptum3802,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,.,385.0,250.25,91.76,,64.75,366.24,
25,NYU Langone,bcbs,bcbshealthynewyork1183,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,,,95.75,,83.78,1009.22,
26,NYU Langone,bcbs,bcbsblueaccesshmosmallgroup3706,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,385.0,250.25,85.38,,64.75,366.24,
27,NYU Langone,bcbs,bcbsout/stateindemnity1209,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,326.61,,83.78,1009.22,
28,NYU Langone,metroplus,metroplusbronzeplusplanexchange1625,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,198 Percent of Medicare OPPS. Metroplus will reimburse unlisted codes and described codes with no Medicare rate at 50 percent of charges.,,,14248.5,,5699.4,51350.81,
29,NYU Langone,medicare,wtchealthprogram-nyu1482,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,326.61,,83.78,1009.22,
30,NYU Langone,hip,hipvipmedicare(cohort2hcp)3370,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",2857.5,1857.375,157.52,,146.49,1733.49,
31,NYU Langone,medicare,bcbsseniorcaresupplemental1190,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,385.0,250.25,79.79,,64.75,366.24,
32,NYU Langone,hip,hipaccessii1266,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,385.0,250.25,93.99,,64.75,366.24,
33,NYU Langone,medicare,elderplan1443,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,2857.5,1857.375,196.9,,146.49,1733.49,
34,NYU Langone,bcbs,bcbsoutofstateppo(suitcaselogo)2067,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,2857.5,1857.375,157.52,,146.49,1733.49,
35,NYU Langone,medicare,bcbsseniorcaresupplemental1190,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,728.0,,,,
36,NYU Langone,medicare,elderplan1443,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,7846.25,23.9,,,
37,NYU Langone,ghi,americanplanadministrators1638,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,,,31739.33,,,,
38,NYU Langone,1199,local1199nyumemberchoice1000,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,1248.57,,,,
39,NYU Langone,bcbs,bcbsout/statepos1211,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,654.64,30.0,,,
40,NYU Langone,healthfirst,healthfirstessentialplan11782,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,225% of NYS APG. Paid once per service date and lesser of 100% of billed charges.,5106.17,970.17,1531.85,30.0,,,
41,NYU Langone,aetna,healthscope3250,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,,,,,
42,NYU Langone,uhc,unitedhealthcarehmo1156,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",,,8124.66,,,,
43,NYU Langone,healthfirst,healthfirstessentialplan41785,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of PAS. Lesser of 100% of billed charges applies.,2182.13,414.6,2490.0,,,,
44,NYU Langone,medicare,metroplusmedicare1401,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,2490.0,,,,
45,NYU Langone,fidelis,fidelisessentialplan1&200-2502201,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,225 Percent of Medicaid APG. Covered services not payable under Medicaid Fee Schedules default to a payment of 87.5 percent of charges.,,,25883.26,,,,
46,NYU Langone,metroplus,metroplusmedplusplanexchange1624,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,198 Percent of Medicare OPPS. Metroplus will reimburse unlisted codes and described codes with no Medicare rate at 50 percent of charges.,32829.5,6237.61,32829.5,100.0,,,
47,NYU Langone,magnacare,nationalhealthplan1572,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. All diagnostic and evaluation services except MRI and CT Scans will be paid as add-ons. Lesser of 100% of billed charges applies.,,,93157.15,100.0,,,
48,NYU Langone,metroplus,metroplusbronzeplusplanexchange1625,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,198 Percent of Medicare OPPS. Metroplus will reimburse unlisted codes and described codes with no Medicare rate at 50 percent of charges.,,,8124.66,,,,
49,NYU Langone,healthfirst,healthfirstmedicaid1084,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of PAS. Lesser of 100% of billed charges applies.,2182.13,414.6,2490.0,,,,
50,NYU Langone,healthfirst,healthfirstplatinumleafexchange1808,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,225% of NYS APG. Paid once per service date and lesser of 100% of billed charges.,2182.13,414.6,2490.0,,,,
51,NYU Langone,magnacare,americanplanadministrators(magnacare)1735,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/75/50% all add ons apply, and lesser of 100% of billed charges",32829.5,6237.61,6894.2,21.0,,,
52,NYU Langone,medicare,elderplanfida3718,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,32829.5,6237.61,6894.2,21.0,,,
53,NYU Langone,medicaid,partnershealthplanmltc3390,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,8124.66,,,,
54,NYU Langone,magnacare,magnacare-capitaldistphyshealth1499,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/75/50% all add ons apply, and lesser of 100% of billed charges",5106.17,970.17,2490.0,,,,
55,NYU Langone,hip,emblemprimeplatinum3316,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,.,,,25883.26,,,,
56,NYU Langone,metroplus,metroplusessentialplan22050,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,225 Percent of Medicaid APG.,2182.13,414.6,2490.0,,,,
57,NYU Langone,bcbs,bcbsopenaccesshmo(hbonly)1468,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,5106.17,970.17,2490.0,,,,
58,NYU Langone,bcbs,bcbshmo1184,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,5106.17,970.17,2490.0,,,,
59,NYU Langone,hip,hipvipmedicare(montefiore)1218,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,25883.26,,,,
60,NYU Langone,metroplus,metroplusplatinumplusplanexchange1628,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,198 Percent of Medicare OPPS. Metroplus will reimburse unlisted codes and described codes with no Medicare rate at 50 percent of charges.,,,8124.66,,,,
61,NYU Langone,wellcare,wellcaremedicare1171,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,8124.66,,,,
62,NYU Langone,ghi,ghiemblemhealthmedicarehmo1072,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,7822.0,,,,
63,NYU Langone,somos,bcbshealthplussomosessentialplan1&200-2503786,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,2490.0,,,,
64,NYU Langone,bcbs,bcbsoutofstateepo(suitcaselogo)2063,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,5106.17,970.17,2490.0,,,,
65,NYU Langone,aetna,healthscope3250,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,6894.2,21.0,,,
66,NYU Langone,hip,emblemselectcareplatinumsg3859,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,"100 Percent of Medicaid APG. Not APG payable, or payable under another fee schedule like ASP/AWP pays at 30% of charges",,,25883.26,,,,
67,NYU Langone,healthfirst,healthfirstessentialplan21783,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,225% of NYS APG. Lesser of 100% of billed charges applies.,,,8124.66,,,,
68,NYU Langone,cigna,mvp-cignanetwork1331,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",1464.39,278.23,8124.66,,,,
69,NYU Langone,hip,emblemcmoessential13016,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,25883.26,,,,
70,NYU Langone,ghi,ghiemblemhealthepo1272,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,.,1464.39,278.23,8124.66,,,,
71,NYU Langone,hip,hipaccessi1265,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,2182.13,414.6,2490.0,,,,
72,NYU Langone,metroplus,metroplusessentialplan32051,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100 Percent of Medicaid APG.,5106.17,970.17,2490.0,,,,
73,NYU Langone,medicare,veteranschoiceprogram-vacaa3662,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,32829.5,6237.61,6894.2,21.0,,,
74,NYU Langone,centerlight,centerlightdirect1788,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,102% of Medicare OPPS.,1464.39,278.23,1037.64,,,,
75,NYU Langone,somos,hipmcdenhanced-essential4(somos)3794,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,2182.13,414.6,2490.0,,,,
76,NYU Langone,medicare,unitedhealthcaremedicare1158,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,25883.26,,,,
77,NYU Langone,healthfirst,healthfirst651083,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,Fixed Rate.,1464.39,278.23,8124.66,,,,
78,NYU Langone,medicare,beaconmedicaremanagedcare(hbonly)1759,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,2490.0,,,,
79,NYU Langone,cigna,cignaopenaccess1413,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",5106.17,970.17,2490.0,,,,
80,NYU Langone,hip,hipsmartstart1267,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,.,32829.5,6237.61,6894.2,21.0,,,
81,NYU Langone,hip,emblemprimeplatinum3316,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,,,25883.26,,,,
82,NYU Langone,cigna,cignalifesource(hbonly)1678,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,8124.66,,,,
83,NYU Langone,somos,bcbshealthplussomosnymedicaid3834,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,.,2182.13,414.6,2490.0,,,,
84,NYU Langone,hip,emblemselectcaregoldsg3860,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,225 Percent of Medicaid APG.,,,1040.48,,,,
85,NYU Langone,bcbs,hoteltradescouncil1682,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,1464.39,278.23,1040.48,,,,
86,NYU Langone,centerlight,centerlightpacemedicarehmo1880,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,102% of Medicare OPPS.,5106.17,970.17,,,,,
87,NYU Langone,bcbs,bcbsoutofstatehmo(nosuitcaselogo)2069,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,,,,,
88,NYU Langone,healthplus,bcbshealthplusessentialplan22011,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,225 Percent of Medicaid APG.,,,7822.0,,,,
89,NYU Langone,healthfirst,healthfirstchildhealthplus1080,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of PAS. Lesser of 100% of billed charges applies.,1464.39,278.23,5812.0,,,,
90,NYU Langone,bcbs,bcbsppo/epo(smallgroup)3749,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/75/50% all add ons apply, and lesser of 100% of billed charges",5106.17,970.17,4182.0,,,,
91,NYU Langone,medicare,wtchealthprogram-northwell1485,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,2462.21,7.5,,,
92,NYU Langone,medicare,wtchealthprogram-northwell1485,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,,,,,
93,NYU Langone,magnacare,employeessecurityfund2058,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. All diagnostic and evaluation services except MRI and CT Scans will be paid as add-ons. Lesser of 100% of billed charges applies.,,,1037.64,,,,
94,NYU Langone,ghi,americanplanadministrators-c/oh.d.a1639,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,32829.5,6237.61,,,,,
95,NYU Langone,bcbs,empireplannyship(hbonly)1186,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,1037.64,,,,
96,NYU Langone,medicaid,partnershealthplanmedicaid3366,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,326.6,,,,
97,NYU Langone,uhc,unitedhealthcareinde1157,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",,,1092.5,,,,
98,NYU Langone,bcbs,local32bj1301,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,,,,,
99,NYU Langone,hip,emblemessential(cohort2hcp)3373,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,,,,,
100,NYU Langone,bcbs,empireplannyship(hbonly)1186,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,5106.17,970.17,,,,,
101,NYU Langone,uhc,unitedhealthcarechoicenslij1773,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",1464.39,278.23,7334.0,,,,
102,NYU Langone,aetna,aetnaopenaccesselectchoice(epo)1415,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". Primary procedure pays at 100%, secondary at 50%, all subsequent at 25%.  Lesser of applies when negotiated rates exceed charges less addons.",2182.13,414.6,5228.0,,,,
103,NYU Langone,medicare,bcbsoutofstatemedicare(suitcaselogo)2065,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,5228.0,,,,
104,NYU Langone,hip,hipaccessi1265,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,32829.5,6237.61,2462.21,7.5,,,
105,NYU Langone,medicare,partnershealthplanfida3389,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,,,40026.51,,,,
106,NYU Langone,cigna,cignahmo1403,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",,,7334.0,,,,
107,NYU Langone,bcbs,bcbsout/stateindemnity1209,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,2182.13,414.6,5228.0,,,,
108,NYU Langone,medicare,uhcaarpmedicarecompleteessential2007,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,5228.0,,,,
109,NYU Langone,hip,emblemhealthcarepartnersessential1&200-2503012,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,2462.21,7.5,,,
110,NYU Langone,cigna,greatwesthmo1282,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,7334.0,,,,
111,NYU Langone,medicare,uhcmedicarecompletechoiceregionalppo2006,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,5228.0,,,,
112,NYU Langone,aetna,aetnameritainhealth1444,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of applies when negotiated rates exceed charges less addons.,2182.13,414.6,,,,,
113,NYU Langone,cigna,mvp-cignanetwork1331,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,32829.5,6237.61,,,,,
114,NYU Langone,medicare,vnsmedicareadvspecialneeds(hbonly)1384,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,7334.0,,,,
115,NYU Langone,healthplus,bcbspathwayxenhanced3360,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,7334.0,,,,
116,NYU Langone,bcbs,bcbsppo/epo(smallgroup)3749,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. All diagnostic and evaluation services except MRI and CT Scans will be paid as add-ons. Lesser of 100% of billed charges applies.,2182.13,414.6,5228.0,,,,
117,NYU Langone,healthfirst,healthfirstessentialplan41785,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of PAS. Lesser of 100% of billed charges applies.,32829.5,6237.61,2462.21,7.5,,,
118,NYU Langone,bcbs,bcbsout/statepos1211,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,,,40026.51,,,,
119,NYU Langone,hip,hipvipmedicare-affinity1608,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,7334.0,,,,
120,NYU Langone,magnacare,cement&concreteworkersdistcouncil1676,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/75/50% all add ons apply, and lesser of 100% of billed charges",1464.39,278.23,7334.0,,,,
121,NYU Langone,medicare,wtchealthprogram-nyu1482,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,2462.21,7.5,,,
122,NYU Langone,medicare,aarpmedicarecomplete1632,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,39345.48,,,,
123,NYU Langone,cigna,cignaopenaccesshmo(hbonly)1466,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",1464.39,278.23,7334.0,,,,
124,NYU Langone,hip,hiphmo(cohort2hcp)3371,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,Fixed Rate.,32829.5,6237.61,2462.21,7.5,,,
125,NYU Langone,cigna,cignapremierplus1048,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",,,44048.71,,,,
126,NYU Langone,medicare,seniorwholehealthofnybymolina1390,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,7334.0,,,,
127,NYU Langone,medicare,bcbsoutofstatemedicare(suitcaselogo)2065,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,5228.0,,,,
128,NYU Langone,medicare,wtchealthprogram-northshore1771,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,2462.21,7.5,,,
129,NYU Langone,bcbs,bcbsoutofstateepo(suitcaselogo)2063,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,,,7334.0,,,,
